名称,学名,特点,作用
狗,Canis lupus familiaris,忠诚、聪明、社交性强,看家护院、导盲、搜救、警务、情感陪伴
猫,Felis catus,独立、高冷、善于捕鼠,消灭害鼠、陪伴、缓解压力
马,Equus ferus caballus,速度快、耐力强、与人类有深厚的合作关系,交通、战马、农业、体育竞技
牛,Bos taurus,力大耐劳，反刍动物，对人类的经济影响巨大,提供肉、奶、皮革，农业耕作，宗教象征
羊,Ovis aries,温顺，易于饲养，羊毛和羊奶对人类贡献巨大,羊毛（服装）、羊奶（奶制品）、羊肉（食物来源）
猪,Sus scrofa domesticus,智商高，好奇心强，适应能力强,主要肉类来源，生物医学研究（猪心脏瓣膜移植）
鸡,Gallus gallus domesticus,适应性强、繁殖快、能为人类提供大量食物,鸡蛋、鸡肉是全球最主要的蛋白质来源之一
大象,Elephas spp.,极高的智商，善于记忆，与人类有复杂的关系,文化象征（亚洲神圣动物）、古代战象、运输、旅游
蜜蜂,Apis mellifera,勤劳、复杂的社会结构，对生态系统至关重要,授粉（维持全球农业）、蜂蜜生产、人类健康（蜂胶、蜂毒疗法）
老鼠,Rattus spp.,繁殖快，适应力极强，人类生活的“影子伙伴”,害虫（传播疾病）、科学研究的重要实验动物（医学、心理学）
